ссылаться_VERB	refer_NOUN
новоселье_NOUN	housewarm_VERB
балт_NOUN	balt_NOUN
категорически_ADV	categorically_ADV
комар_NOUN	mosquito_NOUN
лицо_NOUN	individual_NOUN
поймать_VERB	catch_VERB
уточнение_NOUN	clarify_VERB
нелегально_ADV	illegally_ADV
ожидать_VERB	expect_VERB
болото_NOUN	marsh_NOUN
возбуждать_VERB	arouse_VERB
патрулирование_NOUN	patrol_VERB
взрыв_NOUN	explosion_NOUN
анархизм_NOUN	anarchism_NOUN
постановление_NOUN	ordinance_NOUN
чат_NOUN	chat_NOUN
промежуток_NOUN	interval_ADJ
перфорация_NOUN	perforation_NOUN
препарат_NOUN	medication_NOUN
прямой_ADJ	direct_VERB
небо_NOUN	heaven_NOUN
неореализм_NOUN	neorealism_NOUN
усилитель_NOUN	amp_NOUN
извинение_NOUN	apology_NOUN
увольнение_NOUN	layoff_NOUN
трофей_NOUN	spoil_NOUN
геохимический_ADJ	geochemical_ADJ
миокард_NOUN	infarction_NOUN
лишение_NOUN	deprivation_NOUN
крепость_NOUN	fort_NOUN
социально_ADV	socially_ADV
гугенот_NOUN	huguenot_NOUN
осень_NOUN	fall_NOUN
делиться_VERB	share_VERB
редкость_NOUN	rarity_NOUN
сектор_NOUN	branch_VERB
требование_NOUN	demand_NOUN
наемник_NOUN	mercenary_ADJ
выигрыш_NOUN	winning_NOUN
разнообразный_ADJ	diverse_ADJ
подражатель_NOUN	copycat_NOUN
таймс_NOUN	time_NOUN
дефицит_NOUN	deficit_NOUN
мощный_ADJ	powerful_ADJ
бумага_NOUN	paper_NOUN
роуз_NOUN	rise_VERB
ухаживание_NOUN	court_VERB
диагностика_NOUN	diagnostic_ADJ
богиня_NOUN	goddess_NOUN
выразить_VERB	voice_VERB
эквадор_NOUN	ecuadorian_ADJ
замедлиться_VERB	slow_VERB
стоянка_NOUN	park_VERB
триада_NOUN	triad_NOUN
вывод_NOUN	conclusion_NOUN
поиск_NOUN	search_NOUN
сакс_NOUN	saxon_NOUN
поздно_ADV	late_ADV
бат_NOUN	baht_NOUN
надежно_ADV	securely_ADV
готовность_NOUN	readiness_NOUN
принудительный_ADJ	forcible_ADJ
андроид_NOUN	android_NOUN
премьер_NOUN	premiere_NOUN
турбулентность_NOUN	turbulence_NOUN
элегантный_ADJ	elegant_ADJ
мало_NOUN	mal_ADJ
туризм_NOUN	tourism_NOUN
пустыня_NOUN	desert_VERB
задача_NOUN	challenge_NOUN
наблюдатель_NOUN	observer_NOUN
переоценка_NOUN	reassessment_NOUN
нарушать_VERB	violate_VERB
